i,u,eta_F,load,power,prod,eff,eff_m,prod_m,power_m
93,1.267717198,0.03693697,0.011728655,0.011728655,0.012851899,1.09576917,164.4706452,3.002894875,0.000133117
94,1.268478867,0.037703754,0.011861893,0.011861893,0.013259756,1.117844916,165.6876248,3.061137967,0.000133237
95,1.269237156,0.038477427,0.011995249,0.011995249,0.013675799,1.140101286,166.893458,3.119773547,0.000133357
96,1.269992098,0.039257948,0.012128725,0.012128725,0.014100091,1.162536964,168.0881606,3.17879635,0.000133476
97,1.270743725,0.04004528,0.012262319,0.012262319,0.014532695,1.185150633,169.2717487,3.23820111,0.000133594
98,1.271492068,0.040839383,0.01239603,0.01239603,0.014973673,1.207940971,170.4442384,3.29798256,0.000133711
99,1.272237158,0.041640219,0.012529858,0.012529858,0.015423086,1.230906655,171.6056463,3.35813543,0.000133828
100,1.272979024,0.042447747,0.012663803,0.012663803,0.015880996,1.254046358,172.755989,3.418654448,0.000133944
101,1.273717698,0.043261929,0.012797863,0.012797863,0.016347462,1.277358753,173.8952834,3.479534347,0.00013406
102,1.274453209,0.044082724,0.012932038,0.012932038,0.016822544,1.300842508,175.0235466,3.540769854,0.000134175
103,1.275185585,0.044910092,0.013066327,0.013066327,0.017306301,1.32449629,176.140796,3.602355702,0.000134289
104,1.275914856,0.045743994,0.013200729,0.013200729,0.017798791,1.348318762,177.2470493,3.664286623,0.000134403
105,1.27664105,0.046584388,0.013335245,0.013335245,0.018300071,1.372308587,178.3423244,3.72655735,0.000134516
106,1.277364195,0.047431234,0.013469873,0.013469873,0.018810198,1.396464425,179.4266395,3.789162621,0.000134628
107,1.278084319,0.048284491,0.013604613,0.013604613,0.019329229,1.420784934,180.5000132,3.852097175,0.00013474
108,1.278801448,0.049144118,0.013739463,0.013739463,0.019857217,1.44526877,181.5624643,3.915355756,0.000134851
109,1.27951561,0.050010074,0.013874425,0.013874425,0.020394219,1.469914588,182.614012,3.978933111,0.000134961
